,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,0,421620,421620,624536.3335042519,530902.686514767,717591.414477148,0.0,717591.414477148,717591.414477148,387.7196226018165,341.86936034835315
0,0,124020,124020,557865.9104901929,114759.21520709424,4240377.328827428,0.0,4240377.328827428,4240377.328827428,329.8585864592984,294.4518858733957
0,0,113400,113400,24346.311044218903,10066.933094537417,428988.9057620472,0.0,428988.9057620472,428988.9057620472,306.7060395040547,275.22673377955164
0,0,7560,7560,7204.713584206609,7268.202326910967,17644.142412283312,0.0,17644.142412283312,17644.142412283312,333.4218044275566,206.3998608861326
0,0,72300,72300,37172.14710054104,34873.61021875446,17451.10620770531,0.0,17451.10620770531,17451.10620770531,435.91890037504527,308.9285803423446
0,0,236700,236700,21207.910422497058,15501.708513294292,200448.04475087096,0.0,200448.04475087096,200448.04475087096,309.18891559440505,271.62060130152
0,0,51960,51960,14038.584218691238,14148.473668046068,183816.46696063282,0.0,183816.46696063282,183816.46696063282,331.948199813875,279.69226634649624
0,0,15960,15960,17700.79060838604,17283.127569949316,26782.80564276327,0.0,26782.80564276327,26782.80564276327,425.02066121138427,301.3950629481761
0,0,17760,17760,10407.331996249983,10245.584773279825,5117.597294961763,0.0,5117.597294961763,5117.597294961763,787.4943379235593,466.49147238447415
0,0,73260,73260,213192.56827704492,156933.40662253628,976680.3728113021,0.0,976680.3728113021,976680.3728113021,408.7076032762137,322.06364458483733
0,0,28920,28920,11863.174866265865,11835.61853509146,21501.74987316759,0.0,21501.74987316759,21501.74987316759,823.6593799648134,338.7902771919521
0,0,82680,82680,10158.441970924323,9122.896331310834,98776.86846647422,0.0,98776.86846647422,98776.86846647422,319.34646282409165,270.4709868993407
0,0,69840,69840,23893.729279331892,21723.6300621252,167243.38726916237,0.0,167243.38726916237,167243.38726916237,296.0416824795564,240.44838835238693
0,0,223920,223920,44989.67440156661,43082.864750335764,479070.60853493784,0.0,479070.60853493784,479070.60853493784,294.9458601382101,260.10245220340073
0,0,31140,31140,11634.973429689411,11623.955771420315,113516.46428624903,0.0,113516.46428624903,113516.46428624903,366.25417983546566,300.22910488399924
0,0,80460,80460,12477.86241381654,13412.31106957526,87258.40893838303,0.0,87258.40893838303,87258.40893838303,303.73177803932975,269.9291906514315
0,0,69780,69780,22574.093488191094,21846.39936071402,62105.25639703036,0.0,62105.25639703036,62105.25639703036,303.6581872945461,253.04537728934162
0,0,74520,74520,8276.12044358692,6774.326949936902,174084.83101755797,0.0,174084.83101755797,174084.83101755797,325.9632569330973,277.4966620158822
0,0,237180,237180,72277.38730001623,77864.72448943084,1564140.2512659978,0.0,1564140.2512659978,1564140.2512659978,281.2166189392045,248.17208419523655
0,0,73080,73080,13294.534044567294,9347.616061579294,145032.6599248028,0.0,145032.6599248028,145032.6599248028,358.2915078580158,294.5652197357475
0,0,52920,52920,3911.71263049216,4167.674061521779,48060.90029717955,0.0,48060.90029717955,48060.90029717955,279.04551310062783,254.21320423113883
0,0,16200,16200,8630.825125090341,8972.369776006064,17228.313326817242,0.0,17228.313326817242,17228.313326817242,570.3640553063364,272.0796411405389
0,0,38340,38340,30160.48468728705,25409.31456524246,23698.334678181476,0.0,23698.334678181476,23698.334678181476,318.4886988994583,271.1633414499166
0,0,627540,627540,402704.6522596003,415727.5083587235,3834208.475305941,0.0,3834208.475305941,3834208.475305941,318.4721775497793,263.7184365928923
